feature,relay_or_group,source_category,placement_unit,edge_visible_proposed
R4:S,R4,PMU/relay,R4,True
control_panel_log1,N/A,cyber/log,substation_central,False
control_panel_log2,N/A,cyber/log,substation_central,False
control_panel_log3,N/A,cyber/log,substation_central,False
control_panel_log4,N/A,cyber/log,substation_central,False
relay1_log,N/A,cyber/log,substation_central,False
relay2_log,N/A,cyber/log,substation_central,False
relay3_log,N/A,cyber/log,substation_central,False
relay4_log,N/A,cyber/log,substation_central,False
snort_log1,N/A,cyber/log,substation_central,False
snort_log2,N/A,cyber/log,substation_central,False
snort_log3,N/A,cyber/log,substation_central,False
snort_log4,N/A,cyber/log,substation_central,False
